id	filename	md5	size	state
0c6c5bef-26b9-4669-bc35-4bdc7bf6e9a5	TCGA-AN-A0XP.80E9B7CE-0D5D-4C01-A8E3-E6345BE145EC.PDF	ed512e1389a8ef6287fe108726901869	51331	validated
0e073fc0-623c-4791-8e50-be14d1b5e3be	TCGA-BH-A1FL.032B81C5-F936-448E-A352-C186DF160B7C.PDF	00d2a04caf8ea602c891b9808a9edf44	95863	validated
0e7395ea-e614-49fe-a739-955b55827fa8	TCGA-E9-A1N4.64B91C7E-E6D8-4952-B49F-0F5D57332994.PDF	5fa8e35ae9c639c324e699c3067ec46d	51866	validated
0ffd321f-1593-4721-9b99-6db0cc1c8b34	TCGA-AO-A0J7.4022B2EB-04C3-43F6-9D2C-1A47D80EF6EE.PDF	d60ec5a0227032ba724c8deb431ef6a2	770061	validated
111ac39a-d0a0-4dfa-9d77-cecd1c6ca6a3	TCGA-B6-A0RQ.46B892B9-82C8-4305-BCB9-805F6F5FC90A.PDF	0be5ddab6e64487d15c00c7823df6022	148677	validated
0145dccc-7933-4b85-ba42-a623c626b475	TCGA-B6-A0IK.3A38A97C-2CBB-4802-9528-A4BBD62AEA4A.PDF	c9cf03d9440bfee74f20474700697d2d	67033	validated
0184b3ab-2ef7-44aa-98d0-260dc7657ac2	TCGA-A7-A26F.46A75AD3-BAD1-4A16-873E-0099BD10FA8C.PDF	e23e9c79fb22e7fbf9d9dd34a25cec1d	94363	validated
013643d8-723f-48a9-a315-0f7c6f766c58	TCGA-AR-A2LE.95DC80AB-C070-4613-8C11-A124AEDF9754.PDF	0a8bcb391fa3c6a87e781b7fde4ebc66	40784	validated
736ecfa9-5105-4e08-aff7-202f71bf869a	TCGA-A8-A0A1.3BC6CE69-2641-4B6D-85DF-E8FE838015D0.PDF	61b8ec8add6c8f8330c05dd6411d78ec	43090	validated
8fb7733b-5f20-4e83-a1c4-16a5920e3f56	TCGA-AR-A1AW.BB485405-199C-48C7-96D7-8C315DEA66B4.PDF	a48c8e5c4638b510f27a6503157d0c9b	56957	validated
16880b6b-01c4-4e5c-bea7-69aafde63eec	TCGA-A8-A07B.F24A752C-1AAE-4C70-B6D4-DD0E8C89D9AA.PDF	d5adae4d7e8a4fe9800ef6a8099fe426	44159	validated
